,TOTAL_TRADERS,NEW_TRADERS,NEW_TRADERS_PERCENT,OLD_TRADERS_PERCENT,STICKINESS,SWAP_COUNT,VOL_USD,AVG_TX_VALUE,REVENUE_USD,AVG_GAS_PRICE,INTEREST_RATE_PERCENT
TOTAL_TRADERS,1.0,0.6632205923572564,0.2890674611304341,-0.289067461130434,0.22629541264578293,0.6005970625268598,0.09444839447577258,-0.10211907921062496,0.29255400885419536,0.35464878478582584,0.14999303938874975
NEW_TRADERS,0.6632205923572564,1.0,0.9059761526536316,-0.9059761526536312,-0.231841287246224,0.0794380991745241,-0.01239486415070351,0.01777050925015571,0.4707725496201367,0.36705331247668294,-0.27942849608803777
NEW_TRADERS_PERCENT,0.2890674611304341,0.9059761526536316,1.0,-1.0,-0.42414469039333624,-0.22996633120333201,-0.07558471544493447,0.0679986970949202,0.43192792520872186,0.25036785093167097,-0.43456757617521585
OLD_TRADERS_PERCENT,-0.289067461130434,-0.9059761526536312,-1.0,1.0,0.42414469039333635,0.22996633120333212,0.07558471544493403,-0.06799869709492053,-0.43192792520872236,-0.25036785093167135,0.43456757617521613
STICKINESS,0.22629541264578293,-0.231841287246224,-0.42414469039333624,0.42414469039333635,1.0,0.7146675534198003,-0.31631841272831573,-0.46089119889202,-0.4439987620444322,-0.30222824513888596,0.46707820201120764
SWAP_COUNT,0.6005970625268598,0.0794380991745241,-0.22996633120333201,0.22996633120333212,0.7146675534198003,1.0,-0.20016923961914432,-0.546010672850381,-0.342565073140442,-0.2886944268078954,0.6039117218545028
VOL_USD,0.09444839447577258,-0.01239486415070351,-0.07558471544493447,0.07558471544493403,-0.31631841272831573,-0.20016923961914432,1.0,0.901649655811997,0.8112211333161383,0.6828041127495069,-0.613619361592126
AVG_TX_VALUE,-0.10211907921062496,0.01777050925015571,0.0679986970949202,-0.06799869709492053,-0.46089119889202,-0.546010672850381,0.901649655811997,1.0,0.8420308277841536,0.7631056652926119,-0.7744974334957597
REVENUE_USD,0.29255400885419536,0.4707725496201367,0.43192792520872186,-0.43192792520872236,-0.4439987620444322,-0.342565073140442,0.8112211333161383,0.8420308277841536,1.0,0.8528943150304176,-0.8024716317862277
AVG_GAS_PRICE,0.35464878478582584,0.36705331247668294,0.25036785093167097,-0.25036785093167135,-0.30222824513888596,-0.2886944268078954,0.6828041127495069,0.7631056652926119,0.8528943150304176,1.0,-0.5619415269504848
INTEREST_RATE_PERCENT,0.14999303938874975,-0.27942849608803777,-0.43456757617521585,0.43456757617521613,0.46707820201120764,0.6039117218545028,-0.613619361592126,-0.7744974334957597,-0.8024716317862277,-0.5619415269504848,1.0
