MONTH,COHORT_ID,TOTAL_USERS,USER_COHORT,VOL_USD,VOL_USD_COHORT,FEE_USD,FEE_USD_COHORT,SWAP_COUNT,SWAP_COUNT_COHORT,AVG_TX_VALUE,AVG_TX_VALUE_COHORT
2021-05-01,0,272106,272106,31235262132.84,31235262132.84,9117429257.625,9117429257.625,805024,805024,38800.41108444,38800.41108444
2021-05-01,1,272106,65766,31235262132.84,16175546632.37,9117429257.625,3787945901.3935,805024,559458,38800.41108444,28912.88824607
2021-05-01,2,272106,47527,31235262132.84,8183131604.47,9117429257.625,1575738479.3545,805024,441539,38800.41108444,18533.202286706
2021-05-01,3,272106,44203,31235262132.84,9542894537.77,9117429257.625,1705037814.46,805024,343257,38800.41108444,27801.019462881
2021-05-01,4,272106,38828,31235262132.84,8481758070.88,9117429257.625,1999268416.667,805024,274163,38800.41108444,30936.917348001
2021-05-01,5,272106,43452,31235262132.84,9111658111.89,9117429257.625,1918654360.777,805024,263726,38800.41108444,34549.714900654
2021-05-01,6,272106,42431,31235262132.84,11038973238.89,9117429257.625,2084622742.498,805024,255351,38800.41108444,43230.585503444
2021-05-01,7,272106,34423,31235262132.84,9440193423.26,9117429257.625,1672187825.5828,805024,214888,38800.41108444,43930.76124893
2021-05-01,8,272106,26807,31235262132.84,9601755942.81,9117429257.625,1608591364.5526,805024,172589,38800.41108444,55633.649553622
2021-05-01,9,272106,20219,31235262132.84,5428266630.99,9117429257.625,814738500.1558,805024,117637,38800.41108444,46144.211693515
2021-05-01,10,272106,21151,31235262132.84,4308017607.41,9117429257.625,706574664.1797,805024,131656,38800.41108444,32721.771946664
2021-05-01,11,272106,18746,31235262132.84,3247684496.63,9117429257.625,515700351.2976,805024,109729,38800.41108444,29597.321552461
2021-05-01,12,272106,18637,31235262132.84,5050518026.04,9117429257.625,610714432.9722,805024,114405,38800.41108444,44145.955386915
2021-05-01,13,272106,15483,31235262132.84,2829335323.25,9117429257.625,315545513.6065,805024,97850,38800.41108444,28915.026297905
2021-05-01,14,272106,13442,31235262132.84,1467072646.05,9117429257.625,192611223.9922,805024,85385,38800.41108444,17181.854494935
2021-05-01,15,272106,15401,31235262132.84,1804198077.49,9117429257.625,246849720.3218,805024,107232,38800.41108444,16825.183503898
2021-05-01,16,272106,14476,31235262132.84,1224880258.69,9117429257.625,169447814.9635,805024,107978,38800.41108444,11343.794649743
2021-05-01,17,272106,13883,31235262132.84,1167360991.67,9117429257.625,159315461.2565,805024,94495,38800.41108444,12353.680000741
2021-05-01,18,272106,15546,31235262132.84,2155587557.25,9117429257.625,231961813.1527,805024,114257,38800.41108444,18866.131241412
2021-05-01,19,272106,12112,31235262132.84,720921314.34,9117429257.625,75836304.3466,805024,68051,38800.41108444,10593.83865542
2021-05-01,20,272106,13863,31235262132.84,891427442.71,9117429257.625,116524411.0569,805024,83958,38800.41108444,10617.540230949
2021-05-01,21,272106,16066,31235262132.84,1243169180.46,9117429257.625,222357130.2621,805024,107913,38800.41108444,11520.105830252
2021-05-01,22,272106,16275,31235262132.84,2345312489.96,9117429257.625,248151848.7383,805024,108587,38800.41108444,21598.464732979
2021-05-01,23,272106,13984,31235262132.84,953738003.81,9117429257.625,148510822.9763,805024,81131,38800.41108444,11755.531224933
2021-05-01,24,272106,15944,31235262132.84,1295731853.44,9117429257.625,237203407.5572,805024,115396,38800.41108444,11228.568177753
2021-05-01,25,272106,10712,31235262132.84,715322937.67,9117429257.625,89629468.2353,805024,59718,38800.41108444,11978.347192974
2021-05-01,26,272106,10201,31235262132.84,510345188.06,9117429257.625,71328322.4982,805024,52259,38800.41108444,9765.689891885
2021-05-01,27,272106,8388,31235262132.84,399009555.19,9117429257.625,60249275.2042,805024,42015,38800.41108444,9496.83577746
2021-06-01,0,187319,187319,11288815563.21,11288815563.21,2143837679.243,2143837679.243,659481,659481,17117.726762727,17117.726762727
2021-06-01,1,187319,50457,11288815563.21,12976239778.36,2143837679.243,2109868472.1765,659481,425716,17117.726762727,30480.977408319
2021-06-01,2,187319,32243,11288815563.21,18500343976.67,2143837679.243,2989727081.146,659481,256575,17117.726762727,72105.014037494
2021-06-01,3,187319,24639,11288815563.21,15432921972.99,2143837679.243,2872285218.034,659481,191003,17117.726762727,80799.369501997
2021-06-01,4,187319,23772,11288815563.21,15192841605.89,2143837679.243,2567744439.3065,659481,160813,17117.726762727,94475.207886738
2021-06-01,5,187319,23493,11288815563.21,17202218666.28,2143837679.243,2748963076.0611,659481,155248,17117.726762727,110804.768282232
2021-06-01,6,187319,20286,11288815563.21,19322947555.52,2143837679.243,3039978499.4965,659481,151431,17117.726762727,127602.324197291
2021-06-01,7,187319,15793,11288815563.21,14225457965.17,2143837679.243,1943201681.0236,659481,116078,17117.726762727,122550.853436224
