MONTH,TOTAL_TRADERS,NEW_TRADERS,NEW_TRADERS_PERCENT,OLD_TRADERS_PERCENT,STICKINESS,SWAP_COUNT,VOL_USD,AVG_TX_VALUE,REVENUE_USD,AVG_GAS_PRICE,INTEREST_RATE_PERCENT
2021-05-01,272106,272106,1,0,0.055,805024,31235262132.84,38800.41108444,9117429257.625,121.115821179,0.06
2021-06-01,253085,187319,0.74,0.26,0.062,1218939,27464362195.58,22531.367193584,5931783580.6365,28.342333156,0.08
2021-07-01,269527,171543,0.636,0.364,0.066,1459147,26046850836.2,17850.738024476,4566771770.853,34.348755577,0.1
2021-08-01,251149,133181,0.53,0.47,0.065,1231707,39560218901.21,32118.205791808,6530899610.1845,69.602159247,0.09
2021-09-01,219859,106122,0.483,0.517,0.064,1042250,39215260237,37625.579502998,7736534655.652,108.640721248,0.08
2021-10-01,276004,143658,0.52,0.48,0.061,1109031,43671865077.2,39378.398870005,8126656641.0415,124.590863651,0.08
2021-11-01,350893,191688,0.546,0.454,0.061,1325372,58479095488.53,44122.778728183,10523370712.5597,157.699766835,0.08
2021-12-01,306307,141362,0.462,0.538,0.061,1278305,68998559631.61,53976.601540016,10932700160.934,109.384154157,0.08
2022-01-01,254093,101114,0.398,0.602,0.063,1069296,58324631217.15,54544.888615641,9088561262.2314,163.915391989,0.08
2022-02-01,215246,85537,0.397,0.603,0.066,874642,46700878858.14,53394.278868543,5982158379.7134,98.614131637,0.08
2022-03-01,254774,107666,0.423,0.577,0.062,1159222,44862572146.2,38700.587244031,6621630685.9738,66.171329903,0.2
2022-04-01,228331,85506,0.374,0.626,0.064,1035986,42248868316.65,40781.312022218,5932840845.4028,67.553863354,0.33
2022-05-01,221293,82263,0.372,0.628,0.061,1165764,56737400441.48,48669.713974252,6826160594.9351,87.649797036,0.77
2022-06-01,179656,64097,0.357,0.643,0.065,1107436,42370269235.83,38259.790394957,4875799904.9693,80.710947958,1.21
2022-07-01,181635,71568,0.394,0.606,0.064,1180347,34711803427.53,29408.134580365,3909969910.9805,42.551926978,1.68
2022-08-01,216997,86207,0.397,0.603,0.066,1352951,35374455989.83,26146.147192197,3854090085.7015,27.795603617,2.33
2022-09-01,218282,84548,0.387,0.613,0.068,1403906,27497706971.16,19586.572727205,3260330197.4112,32.570083432,2.56
2022-10-01,230021,95936,0.417,0.583,0.063,1261998,22144229488.02,17546.960841475,2354981718.9536,31.695519872,3.08
2022-11-01,250152,98316,0.393,0.607,0.065,1611284,39207647522.5,24333.170019996,4056093479.9974,47.772513441,3.78
2022-12-01,210208,82859,0.394,0.606,0.061,1041654,16188784567.18,15541.422168186,1419650161.871,29.675846377,4.1
2023-01-01,228944,84744,0.37,0.63,0.065,1393739,27079093556.46,19429.099391249,2597629872.3558,37.024716028,4.33
2023-02-01,274006,99129,0.362,0.638,0.073,1647103,30489246697.93,18510.83186536,3769841472.358,50.308097803,4.57
2023-03-01,296108,110018,0.372,0.628,0.063,1759400,52572430156.59,29880.88561816,4547448486.7066,56.269223266,4.65
2023-04-01,268048,106376,0.397,0.603,0.066,1320678,19986470230.1,15133.492213923,2546008350.8124,51.715297457,4.83
2023-05-01,393986,193681,0.492,0.508,0.076,2215276,19344290040.88,8732.225709519,3721284734.9835,83.078717145,5.06
2023-06-01,266348,101712,0.382,0.618,0.067,1362973,18909944713.69,13874.042049028,2017121181.9724,35.456382909,5.08
2023-07-01,254486,103039,0.405,0.595,0.061,1209795,14152349886.64,11698.138847193,1668960705.0957,39.76422823,5.12
﻿
